ನಾಲಗ್ ವರ್ಷಾದ ಮೇಲೆ ರೋಣಾ ಗೋವರ್ಮೆಂಟಿಗೆ ನಿವು ಸಾಲಾ ಕೊಡವ ರೇತಿ ಬಳದಿರತಿರಾ ನಿಮಗು ಸಬ್ಸಿಡಿ ಬರೆ ಕೊಡವೇಕ ಗೋವರ್ಮೆಂಟಿಗೆ. ಕವರ್ಷ್ಟೂರಿಗಿ ಸ್ವಾಗತಾ ನಾನು ವಿಜೆಲಕ್ಷಮಿಶಿ ಬರೋರು ಕಾಡುಗಳ್ಳ ವಿರಪ್ಪನ್ ಸತ್ತಾಗ ನಾವೆಲ್ಲಾ ನಿತ್ತಿಸರು ಬಿಟ್ವಿ ನಾಡಿನ ಗಂದದ ಗಿಡಗಳೆಲ್ಲಾ ಉಳುದುವಿ ನಾವು ನೆಮ್ಮದಿಯಂದ ಇದ್ದುವಿ ಆದರೆ ನಾಮ್ಮ ನೆಮ್ಮದಿಯನ್ನ ಕೆಳಿಸ ನಮ್ಮಲ್ಲಿ ಒಂದು ವಿಚಿತ್ರವಾದ ಮನವಿ ಮಾಡ್ಕೊಂಡುರು. ಅದೇನಂದ್ರೆ ಬೆಂಗಳೂರು ವಿಶ್ವವಿಧ್ಯಾನಿಲೆ ಆವರಣದಲ್ಲಿ ಕೋಟಿ ರುಪಾಯ್ ಶ್ರಿಗಂಧ ಲೂಟಿಯಾಗ್ತಿದೆ ನಮ್ಮ ಗ್ರಹಿಲಾಗಿಯ ಕಣ್ತಿರಿಸಿ ಅನ್ತ ಬೇಡಿಕೊಂಡುರು ಅವರ ಮನವಿಗೆ ಸ್ಪಂದಿಸಿದ ಕವರ್ ಸ್ಟೋರಿ ತಂಡ ಜಾನದೇಗುಳ ಜಾನಭಾರತಿ ಅತ್ತ ಪ್ರಯಾನ ಬಿಳಸಿಯೆ ಬಿಟಿತು ಮುಂಜಾವಿನ ಚುಮುಚ್ಚುಮು ಚಲಿಗೆ ವಿಸಿರಕ್ತದ ಪರಿಸರ ಪ್ರೇಮಿಗಳು ನಮ್ಮನ್ನ ಸ್ವಾಗತಿಸಿದ್ರು. ಪಹಳ ಉತ್ಸಾಧಿಂದ ಇದ್ದ ಅವರು ನಮ್ಮನು ವಿಶ್ವವಿಧ್ಯಾನಿಲೆಯದ ಕೆಂಪಸ್ ಸುತ್ತಾಡಿಸಿದ್ರು ಇಲ್ಲಿನ ಕಾಡು ಯಾವರಿತಿ ಕಸದ ತೊಟ್ಟಿಯಾಗ್ತಿದೆ ಪ್ಲಾಸ್ಟಿಕ್ ಬಳಕಿನಿ ಶೇಧಿಸಲಾಗಿದ್ರು ಮೈವಾಗಿದೆ. ಕಟ್ಟಡಗಳ ತ್ಯಾಜ್ಯವನ್ನ ಇಲ್ಲಿ ನಿರಾಸೆ ನಾನ ಬಹಾರತ್ಯಾ ಗಂಧದ ಗುಡಿಯಲ್ಲಗೆ

ಕುಡುಗಿಯಾಗಿತ್ತೆ ಗೆಳೆರೆ ಚನ್ದನ ಮನದಿಂದ ಮತ್ತಿಗ ತಾವರೆ ಸೋಟುಕ್ಕು ಬರ್ತಾಯಿದಿನೆ ಮನದಲ್ಲಿ ಗೆಳೆ ಸುಂದರ್ ನಿವರುತ್ತ ಪೋಲಿಸ ಅಧಿಕಾರಿ ಹೇಕ ಕಸ್ಟಾಪಟ್ರು ಕತ್ತಗಳು ಮಲೆ ತಗಮಂದು ಮಗ ಮನದದು ಗನ್ನದ ಗಿಡಗಳನ ರಕ್ಷಿಸವದಿಕ್ಕೆ ಕೋಟೆಕ್ ಕಟ್ಟದಾನು ಅದಿವರ್ವಾಗಿ ಹೇಳದೆ ಸುಂದರವರು ಕೇಳತ್ತಾಯಿದ್ದ ಚಿತ್ರನ್ನಿರ್ಮಾಪಕರು ಕೆಂಪಮ್ಮನ ಕೋಟ್ ಕೇಸ್ ಕ್ಲಾಸ್ಮೇಟ್ಟಾಗಿದ್ದ ಎಡಕಲ್ಲಿಗುಡ ಚಂದಶೇಕರ್ ಅದನ್ನನ ನಿರ್ದೇಶ ಚಿಕ್ಕೂಡಗಾನು ವೃದಲ್ಲ್ಲಿಸಲ್ಲಿಸಾನ ನೀ಑ತಿತ್ತಗಾಗಿದೆ. ನಂತಿ ಅದಾವುತ್ತು ಏಲೋಡಿ ಎಲಡಿಂಚೆನೊ ಎಲ್ಲಿಸ್ತು ಉದ್ದ. ಅದವುತಿತ್ತು ಸಾಂಜೆಯಿ ಶಾಂತರಾಮ್ ಸೋಮಿ ಆಯಪ್ಪಾ ಪಿಚ್ಚರು ಪಾತ್ರದರಿದು ನಿಂಪಿರುವದು ಅವರನ್ನ ನಾಟ್ಯತ್ತದಲ್ಲಿ ಪ್ರಮುಕ ಪಾತ್ರದರಿವಗ ಮನ್ನೆ ಕೆಂಪೆಗವಡಾ ನಾಟ್ಯರು ನುತ್ಯಾಕಿಂದು ಕಲ್ತಿರುವನ್ನು ಅವರಗೆ ಬಳಾ ಸುಲ್ಬಾ ಯವದಾರು ರಂಗಭುಮಿ ಪ್ರವೇಶಾಮಾಡು ರಂಗತಂಡಿಚ್ಚತ್ತೆ ಗುತ್ತುಸ್ಕೋ ಕುಷ್ಮಾಣ್ಡ ರೂಪಾ ಸಿನಮ್ಮದಲ್ಲಿ ವನ್ನಾವುದು ಇರೋ ಸೇಕಂಡ್ ಅತ್ವಾ ಆಂಟಿ ಎಂಬೆಕರು ಕರಿಬೋದು ಬಿಕರು ಪಿಗಿಸುತು ರ ಅದಂತು ಕಣ್ಡಲ್ಲು ನೋಡಿದಿನೆ, ಗಿರಗಳನ್ನು ಕಾಪಾಡವದು ಕೋಸ್ಕರ ಸ್ಥಳದಲ್ಲೆ ಸಿಮೆಂಟ್ ಬ್ಲಾಕ್ಸ್ ತಂದೆ ಇಬ್ರೋ, ಕೊತ್ತೆಂದುಕು ಕೊಟ ಇದ್ದರುವರ್ವೇಕು

ಇದ್ದರ್ವೇಕು ಹೇಗ ನಿಸ್ತು ನಿಂಗ್ಬಿಯ ತೊಟ್ಟದು ಇತ್ಯಾಸ ಇಳ್ವೇಕ್ಕೆ ಸುಮಾರ್ ತೊಲ್ಲು, ಹನ್ನುಡು ನೆಟ್ಟಿ ಹನ್ನೆಡು ಸತತಾದುಕೆ ನಿರಾಖಿ ಮುಂಚಾವಾಗೆ ಫಿಸಿಲಿಟಿಯಿಲ್ಲಿಲ್ಲಾ ನಿರಿಗೆ me ಮಯನಿಕಿ ನಿಲ್ಲಾಗ್ಗುwangಾರು ರೆಸನರಂಗtails ಯದರductರು ಬದಿದಿದು ಪೂಜಾ ಕರುಲಿದೆ sack ನುವಾಗಾ ನಿವೇಳ್ಳದಂಗೆ ಸಾಟಡಸನ್ಡಾ ಆಯತ್ತು ಬರ್ಬೆಕ್ಕು, ಅತ್ರದಲ್ಲಿ 50-60 ಕಿಲ್ಲಮಟ್ರಂದ್ರಂದ್ರಾ ಕಸ್ಟಾಗತ್ತಾವರ್ಗನು. ಕಿಲ್ಲಮೆಟ್ರಾಕ್ಬುದೆನು ಅಷ್ಟೆ ಸಾಊತ್ಪಾಂಚಾವರ್ಗನು ಮಾರಿವಾರು ವಿಶ್ವೇಶ್ವರಾ ಮೆಳಿಲಿ ಚನ್ನಾಗಿ. ಅರಡಿ ತೆಂಗಿಂದು ಅನ್ನಾನು ಕುಳ್ಳ ಕಾನಸ್ತಿಂದು ಒಬ್ಣೆಯಿದ್ದು ಉದ್ದಾ ಕಾನಸ್ತಿಂದು. ಪ್ರಿತ್ಯನ ವಿಶ್ವಾಂತ್ ಕರಿತಿವೇ ವಿಲ್ಕೊಂಟು ದಾರುಗ್ರುದ್ ಇವತ್ತಿನ ಸಿಬೆ ಸ್ರಿಗಂದರ ಮದ್ದೆ ಲಾಬತ್ತಕೊಂದಗುಂದಗು ಹೇಳತ್ತಿನೆ ಸಕ್ಸಸ್ಫಲ್ ಫಾರ್ಮರಿನ ತಿಲುಕಬೋದು ಯಾಕೆದು ತೋರಸ್ತಾದು ಬಾಳಾಜನ್ನೆ ಮಾಡಿತಾರೆ ಮಾಡಿವೇಡಿ ತೇಳಿ ಮಾರ್ಚಿಗೆ ಮಾಡಿವೇರುಂತ ಬೆಲ್ಗಾಮ್ ಜಿಲ್ಲಿ ಬಂದ್ದಿತ್ತೆ ಕಪ್ಪು ಸಮಾನಿವಾಗಿ ತೋಟಾನಾ ಸಾಲು ಷಿಗಂದಲ್ಲಿ ಮಠಿದು ಸಿದ್ಭಲ್ಲು ಆನೇತ ಪುರ್ಷಿವಿ ರೋಂತೆಲ್ಲಿದ ಸಿದ್ಧಲ್ಲಿ ರೋಂತು ಲಿಕ ಹುಂಚಿಂದರು ihrem ಇದುಗಾ ಇದುಗೆ ಸತ್ತಿ ಕಟಿಂಗ್ ಮಾಡಿದೆವೆ ಸ್ರಿಗಂದಕ್ಕಾಲ್ಲ ಸಿಬಿಗೆ ಸಿತಾಫಲಿಗೆ ಸಿತಾಫಲಿ ನೀವಾನಿದೆವೆ

ಇನಿಫಾಮಾಗಿದೆ ಹೈಟಲ್ಲಿ ಬೆಳಿತ್ತಾಯದೆ ತೋಟನಾ ನಿರುವಣೆ ಸಾಕ್ಷಿ ಸಮಸ್ಯ ಬರಲಾನ್ನತ್ತಾ ಹೇಳ್ತಾ ಇವಿಡೆವು ಸಬ್ಜೆಕ್ ಬರನ್ನ ಬರದದರೆ ವಿಷೆಯೆ ಸ್ರಿಗಂದಕ್ಕೆ ಸಿತಾಫಲ್ ನೀವು ನೋಡುಬೋದು ಮಾರಿಗೋಳ್ಡ ಚಂಡು ಕಾಂತಾಯದೆ ಬದನೆಕಾಯಕಾಯದೆ ಕಾಂತಾಯರುದು ಇನಂತರ ಗ್ರೋನಟ್ ಸಿಸನ್ ಬದರೆ ದಿಪಾವಳಿ ಗನೆಚತ್ರತಿ ಗನೆಚತ್ರತಿಕೆ ಅದ್ನು ಪ್ರತಿ ಬಿಳೆಯಂದ ಅಯುವತ್ತು ಸಾಗರದೆಂದ ಎಂದ ಲಕ್ಷಮಟ್ಟ ತೋಂಡಿದ ಏಕ್ರ ಪ್ರದೇಶಾ ಏಕ್ರಿಲ್ಲಿ ಫೈಮ್ಲಿ ಸುತ್ತ ಹೊಳ್ದಲಿಲ್ಲಿಂತು ನಾಟಿದರೆ ವಿಶೇಷಾ ಅಂತದರೆ ಗುಂಡಿನು ಹೊಳ್ದಿದರೆ ಗಿಡಾನು ಸಮಸ್ಸಗೆ ದರ್ವಿತಂಡಿಕೆ ತಪ್ಪದೆ ಕೋಲ್ಮಾಡಿ ಸಲೆಯಪಡಿದರೆ ಇಂಟ್ರೆಸ್ ಮಾನುವಾಗಿದರೆ ಮಾನುವಿತಾವು ಇಂಪುಟ್ ಟಾಇಮ್ ಬಾಲ ಮುಕ್ಕೆ ಸುಂದರವಾತ ಮಾಡುವೇಕೆ ಇದರಿಂದ ನೇಮಿಟೋಡ ಕನ್ಟೋರ್ಳ ಕನ್ಟೋರ್ಳು ಮು ಕೊಡುವೇಡಿ ಜಾನತನ ಅತ್ತೆ ಹೆಲ್ಸಿತೆನೆ ಮಾದವಿಕೆ ಪ್ರಾಂಗಿದು ಚೇಸುವಾದಿದು ನೇಮಿಕೆ ನಿಮಿಕೆ ಎದಿವೇಕೆ ಮಿಸ್ತುತ್ತೆಯಂ ಮರಿಬಡಿ ಯಾದಿ ಡಲವಪ್ಪಮಡವಿಕನ್ನರೆ ತಲಗವರ್ತಾರ ನಮರಕು ಸಂಪರ್ಕಿಸಿ ನಮಾ ಓಫಿಸ್ಯಗೆ ಮಿಟಾಗಿ ತೋಟನ ಕನಸಿನ ನಿರವಣೆ ಫೆಂಡಿ ಇಂದರೆ ಕಪ್ಪ ಮಣ್ಣು ಬೆಲೆದು ಕಷ್ಟಾ ಇಳನೆದು ಡಿಸ್ಟಿಕ್

ಇರುದೆನ್ನ ಹೆಚ್ಚು ಮೂರ್ಣದಂತ್ತಾಂದರೆ ಬೆಳಿತರ ಇಲ್ಲಾಂದರೆ ಬೆಳದಿರೋ ಇನಿದೆಲಾ ಕಬ್ಬುಂದ ಸರಾಣ್ಡಿಂಗ ಕವರಾಗಿದೆ ಲೆಂಡಲ್ಲಿ ಸುಂದರವಾದ ನೇಸ್ಟು ವಿಡಿಯನ್ನು ನೋಡವೇಕಾಗತ್ತೆ ಅದ್ನಾಂ ತಪ್ಪಪಾಡದನ್ನು ತೈವಿಟ್ಟು ಚನ್ನಲ್ಲಾ ಸಬ್ಸ್ಕ್ರಾಯಿದಿ ಬೆಳಿಕನ್ನು ಪ್ರಸ್ಮಾಡಿ ಜಿವನದಲ್ಲಿ ಮಾಡುವಿದ್ದುರೆ ಟಾಯಮಿರತ್ತೆ ಸಿದ್ದತ್ತೆ ತೋಟಕ್ಕು ಬರವೇಕನ್ನು ಚನ್ನ ಕೋರಿಕೆ ಇದ್ನ ನಡಿಸ್ಕೊಡ್ತಿರ ಕಮಿಷ್ಣರ್ ಕಚ್ಚೆರಿಯ ಕೂಗಳತೆ ದೂರದಲ್ಲಿ ಕಳ್ಳತನ ನಡದಿದೆ. ಮಚ್ಚು ದೊಣ್ಣೆಗಳಿಂದ ಭದರತಾ ಸಿಬ್ಬಂದಿಯನ ಬೆದರಸಿ ಎಂಬೆಸಿ ಅಪಾಟ್ಮೆಂಟ್ನಲ್ಲಿ ಕದ್ದೋಯಿದಿದ್ದಾರೆ ಭದರಸಿ ಕದ್ದುಯಿದಿದ್ದಾರೆ ಹಲ್ಲೋ ವಿರುವಾನ್ ವಿಲ್ಕಮ್ ಟೂ ಮಿನಿಟ್ ಮಾವಿನ್ ತೋಟದಲ್ಲಿ ಅದಾಯ ಬರ್ತಾಯಲ್ಲ ಬರಲ್ಲ ಇಂಗಾಗಬುಟ್ಟು ಮಾಡುಬೇಕು ಅಂತೆಯಬುಟ್ಟು ಕ್ರಿಷಿ ಶಿರು ಮಾಡುದಿದು ಒನ್ನ ದೇನ ಸಲ್ಪದಿಸ ಎಸ್ಟದಿಸ ಬರ್ತದು ಅಷ್ಟದಿಸ ತೇಗಿತಿವಿ ಉಳದು ಮೇಲ್ಲ ಸಪೋರ್ಟಾಗಿ ನಿಂತ್ಕೊಳದು ಕೊಸ್ರ ಅವಧ್ಯೇಶಿದಿನ್ನ ಮಾಡಿವ ಎಸ್ಪೆಶಿಲಿ ಡ್ರಿಲಾಂಡಿದೆ ಅಂದರ ಆಂದರ್ಪ್ರದೇಶಿದಿದನ್ನ ಕರ್ನಾಟಕಿದು ಬಾಡ್ರುಗುಳು ಕರ್ನಾಟಕಾ ಮಾಯ್ಸೂರು ಎರಿ ಿ split ರೀಲು ಹ್ಷಾವುಧಿನ CouncilloritarianGur пальac Kill Micro ಭೇಟಿ ಆದಂದರು ಮಾಡೆನ್ನ ನಮ್ಮುಕೊಳ್ಳು. ತೋರ್ತ

ಕಾವ್ಲಿವ ಹೀದಾ ಮರ್ಗಳು ದೋರ Point Daughter ಗೊಬ್ರ ಕೊಡುಬೋದು, ಮಿನ್ರಲ್ಸ್ ಯೂರಿಯ ಕಾಂಪ್ಲೇಕ್ಸು ಅನ್ತದ ಅನ್ರೆಟ್ ಪರ್ಸನ್ಟ್ ಬೇಕಾಗದಿಲ್ಲ. ಬೇಕಾಂದರು ನಿಮ್ ಟಿಕು ಪ್ರೂನಿಂಗೆ ಮಾಡಿತಿರಲ್ಲ ರೆಂಬೆ ಕೊಮ್ಬೆಗಳು ಕತ್ರಸ್ಥಿ ಅದನ್ನೆ ಹಾಕ್ಬುಟ್ಟು ತರ ಮಾಡಬುಟ್ಟ ಮಾಡಬುಟ್ಟು ವಾತಾವರನಿಕೆ ತಕ್ಕಂಗೆ ಕಲುವರು ಹತ್ವರ್ಷಿಕ್ಕೆ ವರಸ್ಯಮ್ಮ ಸಿಕ್ಕರುದ್ರು ನಿಮ್ಮುಗೆ ನಾಲಕನೆ ವರ್ಷಿದಿಂದ ಆಯಿಲ್ಲಿ ಬರಕ್ಕು ಸ್ಟಾಟ ನಾಚ್ರಲ್ ತೋಟದಲ್ಲೇ ಮಾಡಿರುವಾಂತದು ಹದ್ನೈದ ರೋಷಿಯಾ ಆಗ್ಬೋದು ಕಟಾವಗೆ ಅಥ್ತೋರ್ಷಿಕು ಅಧ್ನೈದ ರೋಷಿಕು ಕಾಯೋ ದಿಫ್ರಿಂಸ್ ಇದರೆ ಆದ್ದು ಸಿಗ್ಬೋದು ನಿಮ್ಮಗೆ. ಸಾಯಲ್ಗುನು ಅನ್ಕೂಲ ಕಂಟೆಂಟ್ ಮಾತಾಡನ್ನಲ್ಲ ಲೂಮಿ ಸಾಯಲ್ಸು ಅತ್ವ ಕಲ್ಲು ಇರ್ತದಲ್ಲ ಸನ್ನು ಕಳ್ಳು ಗೊರ್ಜು ಸಾಯಲ್ಲಿ ಇದ್ದರೆ ಚೆನಾಗ್ ಬರತ್ತದೆ. ಇಲ್ಲಾದರುಲ್ಲು ಬೆಳವಾಣಗಿ ಬರತ್ತದೆ ಕಡೆನು ಬಾಟ್ ಇಸ್ ಮೋರ್ ದಿಸ್ ಏರ್ಯಾಸ್. ಸೆಕ್ಯೂರಿಟಿ ನಿಮ್ಮನೆ ನಿವೆಕ್ ಆಯಿಕೊಬುಕು ಬೇರೆವರ್ ಕಾಯದಿಲ್ಲ ಸುಮ್ಮನೆ ಎಳ್ಲತರೆ ಅದ್ಮಾಡಬೋದು ಪೆಂಸಿಂಗು ಮಾಡಕೊಳಿ ಸ್ನಾಯ ಮಾಡಿದಿವಿ ಹೈ ಡೆಂಸಿಟಿಯಲ್ ಕಮ್ಪರ್ಟ್ ಹಾಕ್ಬೇಕು. ವಳ್ಳೆ ಮೇತೆಡು

ಜೆಮಿನು ಡ್ರೈ ಲಾಂಡಿದ್ದು ಸಾಕು ಹೈದ ಎಕ್ರೆಯಲ್ ಕುರಿಗಳಗಿ ಆಕ್ಕುಂ ಬೋದು ಅದರಿಂದನು ಲಾಬ ಯೋಳು ರಶಕ್ರಳುದರೆ ಬರತ್ತು ಲಾಶ್ರಿಗಂದದು ಬಿಜಾ. ನಿಮ್ಮಿಗೆ ಆಯ ಸಾವರ್ಗಿಡಾ ನಮ್ಮದರಲ್ಲಿ ರಶಾ ಆರ್ರರಶಾ ಎಕ್ಕಂದರೆ ಪ್ಲಾಂಟೇಶನು ಸತಿನೆ ಬಿಟ್ಟು ಬಿಟ್ಟಿರುದಿರು ಸಿಲ್ವರೋಕಿದೆ ಗಿಡಗಳುನು ಸಪೋಟ್ ಮಾಡಿತಾವು ಇನ್ತದು ಹೋಸ್ಟು ಅನ್ನಗಿಲ್ಲ. ಕೊಳಿಗಳು ಬಂದರಲ್ಲಿ ಕುರಿಗಳು ಅದೆದು ಏಳಿದ್ದನ್ನಗ ಹೂಳು ತೇಕ್ಕೊಂಡು ಕುರಿನು ಮೇಕೆನು ಮೇಸ್ಕೊಂಡು ಓಪನ್ ಗ್ರೈಜಿಂಗ್ ಮಾಡಿಕೊಂಡು ಒಪ ಪಾರ್ಸ್ ಡಿಪಾಟ್ಮಿಂಟಿಂದ ಸಿಕಿತ್ತಾ ಪ್ರಾಲ್ಮಾಟ್ಟಿಂದಿದಿ. ಡಿಪಾಟ್ಮಿಂಟಿಂದಿದಿ ನರ್ಸರಿಗಳಲ್ಲಿ ನೇಚರಲ್ಲಾಗೆ ಇನೆರ್ತದ ಆವಂದರುಪಾಯ್ ಎಡ್ರುಪಾಯ್ ಜಾಸ್ತಿರುಬಾದು ಅದನ್ತಗೊಂಡು ಮಾಡಕ್ಕು ಸಾಧ್ಯವಂಟು ಮಾಡಕೊಳ್ಳುಯ ಸಾವರಗಿಡಾ ಮಾಡದಾಗು ಇನೂರ್ಗಿಡಾ ಉಳ್ಳಕೊಂಡುರು ನರ್ಸಿರಿಗಳುಲ್ಲೆ ವಿಚಾರಾಮ್ಮುಗೆ ನರ್ಸಿರಿಗಳುಲ್ಲು ಅತು ವಕ್ಕೆಲು ನಮ್ಬಿಕೆಗಿ ಜಾಗಗಳು ನಿವೇ ಉಡುಕ್ಕೊಂಡು ತಗವುಬೋದು ನಮ್ಮಕಡೆ ಚಿಂತಾಮಣಿ ಶಿನುವಾಸ್ಪುರಾ ಕೋಲಾರಾ ಇವಾಗಂತುನು ಡಿಪಾಟ್ಮಿಂಟಲ್ಲಿ ರೆಸಲುಸಿಯನ್ ಪಾಸ್ ಮಾಡಕೊಂಡಿದರೆ ನರ್ಸಿರಿಗಳುಲ್ಲಿ ಶಿರಿಗಂದ ಮಾಡವೇಕು ಡಿಪಾಟ್ಮಿಂಟಿಗಳುಲ್ಲಿ ಕೋಡತರೆ ಗೈಡು ಮಾಡತರೆ ಪೋಲಿಸವರೆ ಸುಳ್ಳು ಆವೆ ತಾಯಿಂಗೆ ಇರುದಿಲ್ಲಾ ಅದಿಕೆ ಫೇಂಸಿಂಗು

ಕಾವಲಿಗೆ ನೋಡಕಂಬೇಕು ಸ್ನಾಯಿನು ಇಟ್ಕೊಂಡು ನಮ್ಮಸ್ಕಾರಾ ನಮ್ಮಸ್ಕರನೈಯೆ ಸ್ವಾಮೆ ಕಿಸಾನ್ನು ವಾರ್ತೆ ಡಾಟ್ಕಾಮ್ಗೆ ಹಾಕ್ವೆಕು ಅತ್ವಾದು ನಿಡುವೆಕು ಕಿಸನರೆಯಿತರಿಲ್ಲಿ ಬೊಂದಲ್ಗಳವೆ ಮುದಲೆನೆ ಏದಾಗಿ ಮರಕ್ಕೆ ಸರಕಾರದ ಅರಣ್ಣಿ ಮಹವಿದ್ಯಾಲೆ ದರ್ವಸ್ತಿತ ಕಾರಣಿರುವಾಹಾಗ ಡಿನಾಯಿತ್ತಕ್ಕಂತ್ತಾ ಸುತಹ ಕುರ್ಷಿಕರೆ ಅಯಿರುತ್ತಕ್ಕತ್ತಾ ಡಾಕ್ಟರ್ ಶಿವನ್ನನ್ನೋರು ಇವಿಶೆಯ ಸರಕಾರದೆ ರಿಸ್ಟಿಂಕ್ಷನ್ನು ಅತ್ತುವ ಅನುಮತಿಯ ಅಗತ್ತೆತೆ ಹಿಲ್ಲಾ ಇಮ್ಬುದನ್ನು ಹೇಡಿದರೆ ಉಷೇದಲ್ಲಿ ಜಾಗ್ರುತ್ತರಾಗಬುಕು ಬೈಬಿತರಾಗಬಾರದು ಇಮ್ಬುದು ಕಿಸಾನುವಾತ್ತೆ ಡಾಟ್ಕಾಮಿನ ಮೂಲ ಉದ್ದೇಶವಾಗಿದ್ದು ಮಾನ್ಸ್ತಾಯಿ ಸರ್ಕಿಸಾನುವತೆ ಡಾಟ್ಕಮ್ಮಿಸ್ವಾಯತಾನ್ ಸರಿವಿಗೆ ತಮ್ಮದು ಅಳರಿಡಿ ನುಮ್ಮು ಕಿಸಾನೋತ್ತಿ ಡಾಟ್ಕಮ್ಮಿಲ್ಲು ಸುಂದರ್ಷಿನಗಳನ್ನು ಅಳರಿದು ಪ್ರಸಾರಮಾಟಿದೆ ಅಳರಿದೆ ಎಗೆ મाં, ಬರುತ್ಸ ವಾರಂಲ ಎಕ್ಷಿನ ಪ್ಷವಾಗಾ ವಾಸನು ಕೊಳತಕಂದದು ಮಾತ್ರಾ ಆಲ್ಲಾ ವರೆವು ಈಗಾ ಸ್ಪಿಸಿಸಂತ್ತೆ ಅಳುವು ಥಳಿಯಾಂತೆ ತಳಿಯಾಂತೆ ಈರೆಟಿ ದುವು ಈಲ್ಲಿ ಕೇಳೋದು ಜನ್ನ ತಳಿಗಳನ್ನ ತಳಿಯಿಲ್ಲಾ ತಲ್ಲಿ ಸಮನ್ಟಿ ಪಟ್ಟಕ್ಕನ್ನಾ ನಾವಾದು ಇದ್ದಾ ಅಮಂದಿದರುಗಿಂದೆ ಗಂಡು ಇದ್ದವೇಂಚಾ ಮರದಲ್ಲಿ ಉವದವೆ ಗಂಡಿ ಎಣ್ಣು ಅಮರಿಲ್ಲಿ ಅಂತರದಲ್ಲಿ ಹಾಕ್ಪುವು ಸಾಂ. ಬೂಮು ಪಲವತಿಗಿ

ಅಂತರವನ್ನು ನಿರ್ದರಸ್ಪುಕೆವು ನೋಡ್ಕೆಂಡು ಇದ್ರೆ ಒಂಬತಗಿತಂಕಲು ಕೊಡಬೋದು ಉದ್ದೇ ಅದನಿದ ಅದನಾರ ಕಟಾವಂಡುವಾದು ಮೇಳಿ ಸರ್ಯಿ ಆಯಿರುವದರಿಂದ ಯಾವದನ್ನು ಇಂದಿಯಾಸ್ಟಿ ಬಳಸ್ತಿಬರುವದಿಂದು ತಿರುಸ್ತಾರು ಎಚ್ಚಿಗೆ ಎಲ್ಗಿಮಿನೆಸ್ ಸ್ಪಿಸಿಸಿಸನ್ನು ತೆಲ್ತುವು ಯಾವದ ದಿದ್ದರದಾನ್ಯ ಸಮಂದಪಟ್ಟನ್ನು ಆದನಂನು ಬಳಸ್ತಿಬರುವದು. ಬಿಟೆ ಸರ್ಕಾರು ದೀನಾರು ಪರಮಿಶನ್ನು ತಾಡಿದರು ಹಾಯಿಂದು ಗನ್ದ ವಲ್ಳದರನ ಉತ್ತರ ಕರ್ಣಾಟಕ ಬಗದಲ್ಲಿ ಬರುವು ಎದ ಸಾರ್ಕಿ ಆವಿತ ಬರ್ತತೆ ಬುಮ್ಯಲ್ಲಿ ಬರ್ತತೆದೆ ಸೂತ್ತೆಂತೆಂತೆ ಸಾರ್ಕಾನ್ನು ಅದರಲ್ಲಿ ಎಚ್ಚಿನಬಾಗ ಕೆಂಪು ಮಿಷ್ರಿತ ಲೋಮಿ ಅಂತುವಲ ಬಾಳಸುತ್ತಾಗೆ ಇರ್ತಾತೆ ಬುಮಿಯಲ್ಲು ಬರ್ತಿತೆ ಮನಳು ಬಂದಿದೆ. ಪಲವತ್ತಿತ್ತಮಿಯಲ್ಲಿ ಸರ್ಕಾರದಿ ಯಾವದೇ ಇದಿಲ್ಲಿಲ್ಲಾ ಸರ್ಕಾರದಿನ್ನು ಸವಲವತ್ತಿದೆ ಒಂದಿಗಳುಕ್ಕೆ ಮೂರ್ವರ್ಷಾ. ಇಲಾಕಿಂದು ತಗವು ಸದ್ಧಿ ಸಹಿ rehab ಮತವ ದಿಮಾಂಡಿದ, ಆತು Jegathy ven Shamдерж vend Warrior ನದಿವದ ಆದ್ಧಿವೇವ ಬೇಕಾತ ದಾರಿವೆ Cena 1, 2, ಚಲಗಿನ ಒಡ್ಡಿನ ಹೊಬ್ಳತುಂ ಌಣ್ temporal ಅನ್ನೊರ ಹೊಂತ Ginger, Honey, My***, Yawn, Black Then Glass,

